raw descriptor,level_3,level_2,level_1,type
abras,abrasive,high_tannin,tannin,nonaroma
acacia,acacia,flowery,flower,aroma
acacia_flower,acacia,flowery,flower,aroma
aciddriven,acid_driven,high_acid,acid,nonaroma
aggress,aggressive,high_acid,acid,nonaroma
airi,airy,light_bodied,body,nonaroma
allspic,allspice,baking_spices,spice,aroma
almond,almond,nutty,nutty,aroma
almond_past,almond,nutty,nutty,aroma
marzipan,almond,nutty,nutty,aroma
almond_skin,almond,nutty,nutty,aroma
alpin_herb,alpine_herbs,fresh_herbs,vegetal,aroma
american_oak,american_oak,resinous,woody,aroma
angular,angular,high_tannin,tannin,nonaroma
anis,anise,baking_spices,spice,aroma
anisett,anise,baking_spices,spice,aroma
appl,apple,tree_fruit,fruit,aroma
appl_cider,apple,tree_fruit,fruit,aroma
appl_flesh,apple,tree_fruit,fruit,aroma
appl_skin,apple,tree_fruit,fruit,aroma
appli,apple,tree_fruit,fruit,aroma
golden_appl,apple,tree_fruit,fruit,aroma
golden_delici,apple,tree_fruit,fruit,aroma
gravenstein_appl,apple,tree_fruit,fruit,aroma
green_appl,apple,tree_fruit,fruit,aroma
greenappl,apple,tree_fruit,fruit,aroma
press_appl,apple,tree_fruit,fruit,aroma
yellow_appl,apple,tree_fruit,fruit,aroma
appl_blossom,apple_blossom,flowery,flower,aroma
appl_pie,apple_pie,biscuit,caramel,aroma
applesauc,apple_sauce,tree_fruit,fruit,aroma
apricot,apricot,stone_fruit,fruit,aroma
ash,ash,toasted,woody,aroma
asian_spice,asian_spice,baking_spices,spice,aroma
asparagus,asparagus,vegetable,vegetal,aroma
asphalt,asphalt,petroleum,earth_inorganic,aroma
assert,assertive,high_acid,acid,nonaroma
astring,astringent,high_tannin,tannin,nonaroma
auster,austere,high_tannin,tannin,nonaroma
bacon,bacon,bacon,brettanomyces,aroma
bacon_fat,bacon,bacon,brettanomyces,aroma
bake,baked,high_alcohol,alcohol,nonaroma
bake_appl,baked_apple,tree_fruit,fruit,aroma
bake_bread,baked_bread,yeasty,microbial,aroma
bake_spice,baking_spices,baking_spices,spice,aroma
bakingspic,baking_spices,baking_spices,spice,aroma
cinnamon_nutmeg,baking_spices,baking_spices,spice,aroma
dust_cinnamon,baking_spices,baking_spices,spice,aroma
balsam,balsamic,volatile_acidity,acid,nonaroma
balsam_note,balsamic,volatile_acidity,acid,nonaroma
banana,banana,tropical_fruit,fruit,aroma
bandaid,band-aid,medicinal,brettanomyces,aroma
barbecu,barbecue,meat,sulfides,aroma
bark,bark,resinous,woody,aroma
barnyard,barnyard,barnyard,brettanomyces,aroma
basil,basil,fresh_herbs,vegetal,aroma
bay_leaf,bay_leaf,fresh_herbs,vegetal,aroma
beef_char,beef,meat,sulfides,aroma
beef_jerki,beef_jerky,meat,sulfides,aroma
beefi,beefy,high_tannin,tannin,nonaroma
beeswax,beeswax,honey,caramel,aroma
beet,beet,vegetable,vegetal,aroma
beetroot,beetroot,vegetable,vegetal,aroma
bell_pepper,bell_pepper,vegetable,vegetal,aroma
bergamot,bergamot,citrus_fruit,fruit,aroma
berri,berry,red_fruit,fruit,aroma
bigbon,big-boned,high_tannin,tannin,nonaroma
bite,bite,high_acid,acid,nonaroma
bitter,bitter,high_tannin,tannin,nonaroma
bitter_almond,bitter_almond,nutty,nutty,aroma
bittersweet,bittersweet,high_tannin,tannin,nonaroma
black_cherri,black_cherry,red_fruit,fruit,aroma
blackcherri,black_cherry,red_fruit,fruit,aroma
black_currant,black_currant,dark_fruit,fruit,aroma
blackfruit,black_fruit,dark_fruit,fruit,aroma
blackskin_fruit,black_fruit,dark_fruit,fruit,aroma
black_pepper,black_pepper,pepper,spice,aroma
black_peppercorn,black_pepper,pepper,spice,aroma
blackpepp,black_pepper,pepper,spice,aroma
black_tea,black_tea,dried_herbs,vegetal,aroma
blackberri,blackberry,dark_fruit,fruit,aroma
blackskin_berri,blackberry,dark_fruit,fruit,aroma
blackberri_jam,blackberry_jam,dark_fruit,fruit,aroma
blackberri_cassi,blackberry-cassis,dark_fruit,fruit,aroma
blackcurr,blackcurrant,dark_fruit,fruit,aroma
bland,bland,low_concentration,concentration,nonaroma
blood_orang,blood_orange,citrus_fruit,fruit,aroma
blossomi,blossom,flowery,flower,aroma
blue,blue,color,visual,nonaroma
blue_black,blue_black,color,visual,nonaroma
blue_flower,blue_flower,flowery,flower,aroma
bluefruit,blue_fruit,dark_fruit,fruit,aroma
blueberri,blueberry,dark_fruit,fruit,aroma
blueberri_pie,blueberry_pie,biscuit,caramel,aroma
big_bold,bold,full_bodied,body,nonaroma
bone_dri,bone_dry,dry,sweetness,nonaroma
bonedri,bone_dry,dry,sweetness,nonaroma
botryti,botrytis,honey,caramel,aroma
boysenberri,boysenberry,red_fruit,fruit,aroma
