raw descriptor,level_3,level_2,level_1,type,primary taste,combined
abras,abrasive,high_tannin,tannin,nonaroma,bitter,high_tannin
acacia,acacia,flowery,flower,aroma,,acacia
acacia_flower,acacia,flowery,flower,aroma,,acacia
aciddriven,acid_driven,high_acid,acid,nonaroma,acid,high_acid
aggress,aggressive,high_acid,acid,nonaroma,acid,high_acid
airi,airy,light_bodied,body,nonaroma,weight,light_bodied
allspic,allspice,baking_spices,spice,aroma,,allspice
almond,almond,nutty,nutty,aroma,,almond
almond_past,almond,nutty,nutty,aroma,,almond
marzipan,almond,nutty,nutty,aroma,,almond
almond_skin,almond,nutty,nutty,aroma,,almond
alpin_herb,alpine_herbs,fresh_herbs,vegetal,aroma,,alpine_herbs
american_oak,american_oak,resinous,woody,aroma,,american_oak
angular,angular,high_tannin,tannin,nonaroma,bitter,high_tannin
anis,anise,baking_spices,spice,aroma,,anise
anisett,anise,baking_spices,spice,aroma,,anise
appl,apple,tree_fruit,fruit,aroma,,apple
appl_cider,apple,tree_fruit,fruit,aroma,,apple
appl_flesh,apple,tree_fruit,fruit,aroma,,apple
appl_skin,apple,tree_fruit,fruit,aroma,,apple
appli,apple,tree_fruit,fruit,aroma,,apple
golden_appl,apple,tree_fruit,fruit,aroma,,apple
golden_delici,apple,tree_fruit,fruit,aroma,,apple
gravenstein_appl,apple,tree_fruit,fruit,aroma,,apple
green_appl,apple,tree_fruit,fruit,aroma,,apple
greenappl,apple,tree_fruit,fruit,aroma,,apple
press_appl,apple,tree_fruit,fruit,aroma,,apple
yellow_appl,apple,tree_fruit,fruit,aroma,,apple
appl_blossom,apple_blossom,flowery,flower,aroma,,apple_blossom
appl_pie,apple_pie,biscuit,caramel,aroma,,apple_pie
applesauc,apple_sauce,tree_fruit,fruit,aroma,,apple_sauce
apricot,apricot,stone_fruit,fruit,aroma,,apricot
ash,ash,toasted,woody,aroma,,ash
asian_spice,asian_spice,baking_spices,spice,aroma,,asian_spice
asparagus,asparagus,vegetable,vegetal,aroma,,asparagus
asphalt,asphalt,petroleum,earth_inorganic,aroma,,asphalt
assert,assertive,high_acid,acid,nonaroma,acid,high_acid
