,Variety,Country,Province,Region,Subregion,count,geo_normalized
0,"Aglianico, Italian Red",Italy,Italy Other,Vino Spumante,none,5,
2,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Taburno,none,13,"Campania, Southern Italy, Italy"
3,"Aglianico, Italian Red",Italy,Southern Italy,Aglianico del Vulture,none,68,"Basilicata, Southern Italy, Italy"
4,"Aglianico, Italian Red",Italy,Southern Italy,Basilicata,none,2,"Basilicata, Southern Italy, Italy"
5,"Aglianico, Italian Red",Italy,Southern Italy,Beneventano,none,2,"Campania, Southern Italy, Italy"
6,"Aglianico, Italian Red",Italy,Southern Italy,Campania,none,30,"Campania, Southern Italy, Italy"
7,"Aglianico, Italian Red",Italy,Southern Italy,Castel del Monte,none,4,"Puglia, Southern Italy, Italy"
9,"Aglianico, Italian Red",Italy,Southern Italy,Falerno del Massico,none,3,"Campania, Southern Italy, Italy"
10,"Aglianico, Italian Red",Italy,Southern Italy,Irpinia,none,60,"Campania, Southern Italy, Italy"
11,"Aglianico, Italian Red",Italy,Southern Italy,Molise,none,2,"Molise, Southern Italy, Italy"
13,"Aglianico, Italian Red",Italy,Southern Italy,Puglia,none,6,"Puglia, Southern Italy, Italy"
15,"Aglianico, Italian Red",Italy,Southern Italy,Sannio,none,14,"Campania, Southern Italy, Italy"
17,"Aglianico, Italian Red",Italy,Southern Italy,Taurasi,none,124,"Campania, Southern Italy, Italy"
19,"Aglianico, Italian Red",US,California,Central Coast,Paso Robles,5,"Paso Robles, Central Coast, California, USA"
22,"Aglianico, Italian Red",US,California,Lake County,none,2,"Clear Lake, North Coast, California"
26,"Aglianico, Italian Red",US,California,Sierra Foothills,Amador County,5,"Sierra Foothills, California, USA"
29,"Aglianico, Italian Red",US,California,Sierra Foothills,Sierra Foothills,2,"Sierra Foothills, California, USA"
36,"Albana, Italian White",Italy,Central Italy,Romagna,none,13,"Emilia-Romagna, Northeast Italy, Italy"
42,"Alicante, Grenache",Italy,Sicily & Sardinia,Menfi,none,2,"Sicily, Southern Italy, Italy"
44,"Alicante, Grenache",Italy,Tuscany,Toscana,none,2,"Tuscany, Central Italy, Italy"
45,"Alsace white blend, White Blend",France,Alsace,Alsace,none,107,"Alsace, France"
46,"Alvarinho-Chardonnay, White Blend",Portugal,Lisboa,none,none,6,"Lisboa, Portugal"
48,"Aragonez, Tempranillo",Portugal,Alentejano,none,none,10,"Alentejo, Portugal"
49,"Aragonez, Tempranillo",Portugal,Lisboa,none,none,2,"Lisboa, Portugal"
50,"Aragonez, Tempranillo",Portugal,PenÃ­nsula de SetÃºbal,none,none,2,"Setubal, Portugal"
51,"AragonÃªs, Tempranillo",Portugal,Alentejano,none,none,18,"Alentejo, Portugal"
52,"AragonÃªs, Tempranillo",Portugal,Alentejo,none,none,2,"Alentejo, Portugal"
54,"Arinto-Chardonnay, White Blend",Portugal,Tejo,none,none,2,"Tejo, Portugal"
55,"Arneis, Italian White",Italy,Italy Other,Vino Spumante,none,2,
56,"Arneis, Italian White",Italy,Piedmont,Langhe,none,4,"Piedmont, Northwest Italy, Italy"
57,"Arneis, Italian White",Italy,Piedmont,Roero,none,42,"Piedmont, Northwest Italy, Italy"
60,"Arneis, Italian White",US,California,Mendocino County,Mendocino,2,"Mendocino, North Coast, California, USA"
61,"Arneis, Italian White",US,California,Mendocino County,Mendocino County,3,"Mendocino, North Coast, California, USA"
68,"Austrian Red Blend, Red Blends",Austria,Austria,none,none,2,
69,"Austrian Red Blend, Red Blends",Austria,Burgenland,none,none,77,"Burgenland, Austria"
70,"Austrian Red Blend, Red Blends",Austria,Carnuntum,none,none,6,"Niederosterreich, Austria"
71,"Austrian Red Blend, Red Blends",Austria,NiederÃ¶sterreich,none,none,10,"Niederosterreich, Austria"
72,"Austrian Red Blend, Red Blends",Austria,Steiermark,none,none,2,"Steiermark, Austria"
73,"Austrian Red Blend, Red Blends",Austria,Thermenregion,none,none,3,"Niederosterreich, Austria"
75,"Austrian Red Blend, Red Blends",Austria,Weinland Ãsterreich,none,none,3,
78,"Austrian white blend, White Blend",Austria,Burgenland,none,none,37,"Burgenland, Austria"
80,"Austrian white blend, White Blend",Austria,NiederÃ¶sterreich,none,none,17,"Niederosterreich, Austria"
81,"Austrian white blend, White Blend",Austria,Steiermark,none,none,3,"Steiermark, Austria"
82,"Austrian white blend, White Blend",Austria,SÃ¼doststeiermark,none,none,3,"Steiermark, Austria"
83,"Austrian white blend, White Blend",Austria,Thermenregion,none,none,15,"Niederosterreich, Austria"
84,"Austrian white blend, White Blend",Austria,Vienna,none,none,15,"Vienna, Austria"
85,"Austrian white blend, White Blend",Austria,Vulkanland Steiermark,none,none,2,"Steiermark, Austria"
89,"Austrian white blend, White Blend",Austria,Wiener Gemischter Satz,none,none,32,"Niederosterreich, Austria"
90,"Austrian white blend, White Blend",Austria,Ãsterreichischer Sekt,none,none,3,
95,"Bombino Bianco, Italian White",Italy,Southern Italy,Castel del Monte,none,2,"Puglia, Southern Italy, Italy"
96,Bordeaux-style Red Blend,Argentina,Mendoza Province,Agrelo,none,3,"Mendoza, Argentina"
99,Bordeaux-style Red Blend,Argentina,Mendoza Province,LujÃ¡n de Cuyo,none,11,"Mendoza, Argentina"
100,Bordeaux-style Red Blend,Argentina,Mendoza Province,Mendoza,none,133,"Mendoza, Argentina"
101,Bordeaux-style Red Blend,Argentina,Mendoza Province,Tupungato,none,14,"Mendoza, Argentina"
102,Bordeaux-style Red Blend,Argentina,Mendoza Province,Uco Valley,none,18,"Mendoza, Argentina"
103,Bordeaux-style Red Blend,Argentina,Mendoza Province,Vista Flores,none,3,"Mendoza, Argentina"
106,Bordeaux-style Red Blend,Argentina,Other,Cafayate,none,4,"Salta, Argentina"
107,Bordeaux-style Red Blend,Argentina,Other,CalchaquÃ­ Valley,none,2,"Salta, Argentina"
109,Bordeaux-style Red Blend,Argentina,Other,Patagonia,none,3,"Patagonia, Argentina"
110,Bordeaux-style Red Blend,Argentina,Other,Salta,none,4,"Salta, Argentina"
114,Bordeaux-style Red Blend,Australia,South Australia,Adelaide,none,2,"South Australia, Australia"
116,Bordeaux-style Red Blend,Australia,South Australia,Barossa,none,2,"South Australia, Australia"
117,Bordeaux-style Red Blend,Australia,South Australia,Barossa Valley,none,5,"South Australia, Australia"
119,Bordeaux-style Red Blend,Australia,South Australia,Coonawarra,none,8,"South Australia, Australia"
122,Bordeaux-style Red Blend,Australia,South Australia,McLaren Vale,none,5,"South Australia, Australia"
123,Bordeaux-style Red Blend,Australia,South Australia,McLaren Vale-Adelaide Hills,none,2,"South Australia, Australia"
124,Bordeaux-style Red Blend,Australia,Victoria,Yarra Valley,none,11,"Victoria, Australia"
125,Bordeaux-style Red Blend,Australia,Western Australia,Frankland River,none,2,"Western Australia, Australia"
126,Bordeaux-style Red Blend,Australia,Western Australia,Margaret River,none,27,"Western Australia, Australia"
127,Bordeaux-style Red Blend,Australia,Western Australia,Pemberton,none,2,"Western Australia, Australia"
128,Bordeaux-style Red Blend,Austria,Burgenland,none,none,5,"Burgenland, Austria"
133,Bordeaux-style Red Blend,Bulgaria,Thracian Valley,none,none,3,"Thracian Valley, Bulgaria"
134,Bordeaux-style Red Blend,Canada,British Columbia,Okanagan Valley,none,24,"British Columbia, Canada"
135,Bordeaux-style Red Blend,Canada,British Columbia,Similkameen Valley,none,2,"British Columbia, Canada"
137,Bordeaux-style Red Blend,Chile,Aconcagua Valley,none,none,11,"Aconcagua Valley, Aconcagua Region, Chile"
142,Bordeaux-style Red Blend,Chile,Colchagua Valley,none,none,12,"Colchagua Valley, Central Valley, Chile"
145,Bordeaux-style Red Blend,Chile,Maipo Valley,none,none,19,"Maipo Valley, Central Valley, Chile"
146,Bordeaux-style Red Blend,Chile,Maule Valley,none,none,19,"Maule Valley, Central Valley, Chile"
147,Bordeaux-style Red Blend,Chile,Santa Cruz,none,none,3,"Colchagua Valley, Central Valley, Chile"
149,Bordeaux-style Red Blend,France,Bordeaux,Blaye CÃ´tes de Bordeaux,none,424,"Bourg & Blaye, Bordeaux, France"
150,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux,none,814,
152,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux Clairet,none,29,
153,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux CÃ´tes de Francs,none,5,"Libournais, Bordeaux, France"
154,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux RosÃ©,none,18,
155,Bordeaux-style Red Blend,France,Bordeaux,Bordeaux SupÃ©rieur,none,733,
157,Bordeaux-style Red Blend,France,Bordeaux,Cadillac CÃ´tes de Bordeaux,none,159,"Entre-Deux-Mers, Bordeaux"
158,Bordeaux-style Red Blend,France,Bordeaux,Canon-Fronsac,none,19,"Libournais, Bordeaux, France"
159,Bordeaux-style Red Blend,France,Bordeaux,Castillon CÃ´tes de Bordeaux,none,226,"Libournais, Bordeaux, France"
160,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bordeaux,none,84,"Bourg & Blaye, Bordeaux, France"
161,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bordeaux Francs,none,2,"Libournais, Bordeaux, France"
162,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Bourg,none,152,"Bourg & Blaye, Bordeaux, France"
163,Bordeaux-style Red Blend,France,Bordeaux,CÃ´tes de Castillon,none,16,"Libournais, Bordeaux, France"
164,Bordeaux-style Red Blend,France,Bordeaux,Entre-Deux-Mers,none,2,"Entre-Deux-Mers, Bordeaux"
165,Bordeaux-style Red Blend,France,Bordeaux,Francs CÃ´tes de Bordeaux,none,37,"Libournais, Bordeaux, France"
166,Bordeaux-style Red Blend,France,Bordeaux,Fronsac,none,78,"Libournais, Bordeaux, France"
167,Bordeaux-style Red Blend,France,Bordeaux,Graves,none,199,"Graves, Bordeaux, France"
